listings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_response_rate,host_listings_count,host_total_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
N/A,1,1,,39.9618867090039,116.44989695483686,3,0,2,2,,$ 548.00,,,,,1,$ 0.00,1,30,0,0,0,0,0,,,,,,,,flexible,1,
95%,10,10,100010,39.87380606946159,116.4606311418745,4,1,1,4,,$ 322.00,,,$ 0.00,$ 0.00,1,$ 75.00,1,90,29,59,89,364,0,,,,,,,,moderate,10,
95%,10,10,100010,39.87219140552473,116.45883222266912,3,1,1,3,,$ 89.00,,,,,1,$ 89.00,2,200,28,58,88,363,0,,,,,,,,moderate,10,
100%,2,2,100191,39.96589881467988,116.3673875725568,2,1,1,1,,$ 260.00,,,,,1,$ 0.00,1,60,29,59,89,364,7,80,8,8,10,9,9,8,flexible,2,0.47
100%,1,1,100009,39.937953155586136,116.40689525487744,3,1,1,2,,$ 390.00,,,$ 640.00,$ 50.00,2,$ 50.00,1,30,13,43,73,73,65,94,10,9,10,10,10,9,moderate,1,4.22
N/A,2,2,100020,39.93833959561205,116.44587156744048,1,1,1,1,,$ 151.00,,,,,1,$ 0.00,1,1125,0,0,0,0,0,,,,,,,,flexible,1,
100%,9,9,100070,39.84786408964731,116.32726336607386,2,1,1,1,,$ 301.00,,,,,1,$ 0.00,1,1125,23,53,83,263,1,100,10,10,10,10,10,10,flexible,1,0.07
100%,1,1,100096,39.98949587386978,116.4595344359493,2,1,1,2,,$ 178.00,,,,,1,$ 0.00,1,1125,11,11,11,267,19,96,10,9,10,10,10,10,flexible,1,1.64
N/A,4,4,102409,39.59781977908511,115.77056101912643,2,1,1,1,,"$ 1,239.00",,,$ 0.00,$ 0.00,2,$ 200.00,2,30,30,60,90,365,0,,,,,,,,strict_14_with_grace_period,4,
100%,16,16,100080,39.98235716326808,116.30716313964017,2,1,0,1,,$ 411.00,,,,,1,$ 0.00,1,1125,28,58,88,363,12,95,10,10,10,10,10,10,flexible,16,0.8
100%,16,16,100080,39.98193196499694,116.30861210570245,2,1,0,1,,$ 363.00,,,,,1,$ 0.00,1,1125,0,27,57,147,31,93,10,9,10,10,10,10,flexible,16,2.12
100%,16,16,100080,39.980203594024246,116.30699914996393,2,1,0,1,,$ 363.00,,,,,1,$ 0.00,1,1125,28,58,88,178,4,85,10,7,10,10,10,9,flexible,16,0.27
100%,16,16,100080,39.98173629357071,116.30798502187955,2,1,0,1,,$ 390.00,,,,,1,$ 0.00,1,1125,28,58,79,157,7,94,10,9,10,10,10,9,flexible,16,0.61
100%,16,16,100080,39.982444742348484,116.30701678782023,2,1,0,1,,$ 411.00,,,,,1,$ 0.00,1,1125,8,38,68,158,7,90,10,8,10,10,10,8,flexible,16,0.47
100%,16,16,100080,39.980362154599774,116.30657393040228,2,1,0,1,,$ 411.00,,,,,1,$ 0.00,1,1125,29,59,89,179,2,50,10,6,10,10,10,6,flexible,16,0.13
100%,16,16,100080,39.981968809122435,116.30846146736141,2,1,0,1,,$ 411.00,,,,,1,$ 0.00,1,1125,29,59,89,179,0,,,,,,,,flexible,16,
N/A,1,1,,39.87382537846304,116.41871440777838,2,1,1,1,,$ 151.00,,,,,1,$ 0.00,1,1125,0,0,0,0,0,,,,,,,,flexible,1,
N/A,1,1,101101,39.90532208668419,116.61841461528233,1,2,1,1,,$ 89.00,,,,,1,$ 0.00,1,1125,0,0,0,0,0,,,,,,,,flexible,1,
98%,48,48,,39.88412583473657,116.46317145772103,2,1,1,1,,$ 171.00,,,,,1,$ 0.00,1,1,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88611155018207,116.46301007478735,2,1,1,1,,$ 157.00,,,,,1,$ 0.00,1,1,30,60,90,365,0,,,,,,,,flexible,48,
80%,4,4,100102,40.0036656975963,116.46463500786236,1,1,1,1,,$ 178.00,,,,$ 35.00,1,$ 0.00,1,1125,30,60,90,365,2,100,10,10,10,10,10,10,flexible,4,0.13
98%,48,48,,39.885810701499054,116.46159547651831,2,1,1,1,,$ 157.00,,,,,1,$ 0.00,1,1,30,60,90,365,0,,,,,,,,flexible,48,
35%,11,11,,39.93546849724472,116.28370544816165,2,1,1,1,,$ 397.00,,,,,1,$ 0.00,1,1125,29,59,89,364,10,84,9,9,9,8,9,9,moderate,11,0.66
98%,48,48,,39.88571285792185,116.46317403031152,2,1,1,1,,$ 185.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
100%,9,9,,40.46369482822867,116.6020383905235,16,8,8,16,,"$ 6,797.00",,,$ 0.00,$ 0.00,2,$ 0.00,1,1125,27,57,87,87,1,100,8,10,10,8,10,10,moderate,9,0.07
98%,48,48,,39.88567735608597,116.46306096301467,2,1,1,1,,$ 171.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88390305026198,116.46327862826472,2,1,1,1,,$ 89.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88422217350697,116.4615860041719,2,1,1,1,,$ 157.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
100%,2,2,100000,39.923747863994485,116.61151385863907,2,1,1,1,,$ 192.00,,,,,1,$ 0.00,3,1125,11,38,68,343,4,100,10,10,10,10,10,10,flexible,2,0.27
98%,48,48,,39.88426104100993,116.46303758468856,2,1,1,1,,$ 157.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.885787291363165,116.46209785967802,2,1,1,1,,$ 171.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88518228124781,116.46169454601824,2,1,1,1,,$ 157.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
99%,27,27,,39.901465556843604,116.48865336997937,4,1,1,2,,$ 459.00,,,,,1,$ 0.00,1,1125,27,57,87,362,9,98,10,9,10,10,10,10,moderate,27,0.59
N/A,1,1,100083,40.00490704881429,116.34781962658371,4,1,2,2,,$ 363.00,,,"$ 1,000.00",$ 70.00,1,$ 0.00,2,1125,0,0,0,0,18,99,10,10,10,10,10,10,strict_14_with_grace_period,1,1.21
93%,2,2,100009,39.939027413392544,116.401006602466,2,1,1,1,,$ 267.00,,,,$ 65.00,1,$ 0.00,1,1125,30,60,90,180,26,92,9,9,9,10,10,9,flexible,2,1.7
100%,2,2,100085,40.0402185596877,116.29042162266197,1,1,1,1,,$ 68.00,,,,$ 52.00,1,$ 0.00,3,1125,0,0,0,0,1,100,10,10,10,10,10,10,moderate,2,0.09
100%,1,1,100176,39.870873266148834,116.45977482235818,7,1,3,4,,"$ 1,314.00",,,$ 700.00,$ 0.00,1,$ 0.00,1,1125,30,60,90,365,1,100,10,8,10,10,10,8,strict_14_with_grace_period,1,0.07
100%,8,8,100010,39.93188675198726,116.42291656750018,2,1,1,2,,$ 349.00,,,$ 777.00,$ 77.00,2,$ 0.00,1,7,0,0,0,0,99,92,9,9,10,10,10,9,flexible,7,6.37
N/A,1,1,101508,40.64938476841475,117.2697342531437,4,1,2,2,,$ 794.00,,,$ 0.00,$ 0.00,1,$ 0.00,1,90,29,59,89,179,12,100,10,10,10,10,10,10,flexible,1,0.78
100%,5,5,,39.923236723259805,116.32934065498792,3,1,1,2,,$ 199.00,,,,$ 32.00,2,$ 40.00,1,1125,0,12,42,317,0,,,,,,,,moderate,5,
100%,4,4,,40.36883300039856,116.6690835786791,4,1,2,2,,$ 753.00,,,"$ 1,000.00",$ 150.00,4,$ 200.00,1,1125,18,48,78,78,8,100,10,10,10,10,10,10,flexible,4,0.61
100%,5,5,,39.92511995488889,116.32661233205114,3,1,1,2,,$ 178.00,,,,$ 32.00,2,$ 40.00,2,1125,0,12,42,317,4,100,10,10,10,10,10,10,moderate,5,0.29
N/A,1,1,100009,39.95772442463649,116.38081718757923,2,2,1,1,,$ 123.00,,,,,1,$ 0.00,1,1125,0,0,0,0,0,,,,,,,,flexible,1,
N/A,1,1,100070,39.834544150994326,116.33998126214853,2,7,7,13,,$ 370.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,1,
100%,3,3,100085,40.04242924345497,116.29000022109673,1,1,1,1,,$ 96.00,,,,,1,$ 0.00,1,1125,30,48,48,48,1,100,10,8,10,10,10,10,moderate,3,1
N/A,1,1,,39.8896839317062,116.45982323957583,2,1,1,1,,$ 438.00,,,,,1,$ 0.00,1,200,0,0,4,4,0,,,,,,,,moderate,1,
98%,48,48,,39.8855286679181,116.46166262515723,2,1,1,1,,$ 178.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88532600827475,116.4633597253321,2,1,1,1,,$ 157.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88578592064772,116.46286381816489,2,1,1,1,,$ 171.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88418607905284,116.46312172149736,2,1,1,1,,$ 164.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
99%,27,27,100022,39.89754563830651,116.48854972449524,4,1,2,2,,$ 630.00,,,,,1,$ 0.00,1,1125,0,30,60,335,2,100,10,10,10,10,10,10,moderate,27,0.14
98%,48,48,,39.88376193689172,116.46301145438017,2,1,1,1,,$ 171.00,,,,,1,$ 0.00,1,1125,25,55,85,360,0,,,,,,,,flexible,48,
98%,48,48,,39.88417464781236,116.46308566077109,2,1,1,1,,$ 315.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88379672259084,116.46186926327931,6,1,3,3,,$ 486.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,100,10,10,10,10,10,10,flexible,48,0.09
98%,48,48,,39.885824161101894,116.46338408043863,2,1,1,1,,$ 301.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
100%,1,1,102202,40.06655204054563,116.3085706951403,2,1,1,1,,$ 123.00,,,"$ 2,000.00",$ 0.00,1,$ 50.00,1,30,0,30,60,60,25,98,10,10,10,10,9,10,strict_14_with_grace_period,1,1.92
98%,48,48,,39.88577281403662,116.46210441965161,1,1,1,1,,$ 110.00,,,,,1,$ 0.00,1,1125,30,60,90,365,2,90,9,9,10,10,10,9,flexible,48,0.16
98%,48,48,,39.885389871961536,116.46165519529809,2,1,1,1,,$ 356.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88410693809722,116.46318609165273,2,1,1,1,,$ 171.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88498952674164,116.465689070337,2,1,1,1,,$ 171.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88527208264229,116.46699166684652,2,1,1,1,,$ 185.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88588772672547,116.46568615260117,2,1,1,1,,$ 301.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88681922720772,116.46641469673793,5,2,3,3,,$ 548.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.885946084169156,116.46709796972866,2,1,1,1,,$ 171.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88574315844276,116.46525412736489,2,1,1,1,,$ 171.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88648465855337,116.46548023308898,2,1,1,1,,$ 199.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88535677987072,116.46665786203688,2,1,1,1,,$ 301.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,100,10,10,8,10,10,10,flexible,48,0.19
98%,48,48,,39.88463012229123,116.46179851029537,2,1,1,1,,$ 315.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88575584500176,116.46678640438428,6,1,3,3,,$ 698.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88680373864227,116.46553025551042,2,1,1,1,,$ 157.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88689950813895,116.46659403035034,2,1,1,1,,$ 178.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88538418194714,116.4665977633152,2,1,1,1,,$ 157.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88670993343389,116.46522857608626,2,1,1,1,,$ 178.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
100%,3,3,100022,39.89490341444224,116.50435676323845,4,1,1,2,,$ 431.00,,,,$ 50.00,1,$ 0.00,1,1125,8,38,68,158,18,99,10,10,10,10,9,10,moderate,3,1.21
98%,48,48,,39.88729111155124,116.46522176363764,2,1,1,1,,$ 199.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.885617248420864,116.46510083404483,2,1,1,1,,$ 199.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
100%,24,24,100010,39.889052461690106,116.40245124729164,8,1,2,6,,$ 849.00,,,$ 0.00,$ 50.00,1,$ 0.00,1,1125,16,46,76,351,27,95,10,10,10,10,10,10,moderate,24,1.79
98%,48,48,,39.88548955208031,116.46216439709693,2,1,1,1,,$ 288.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,100,10,10,10,10,10,10,flexible,48,0.09
98%,48,48,,39.8854185718639,116.46285064506388,2,1,1,1,,$ 301.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88441299080636,116.46349718694975,2,1,1,1,,$ 301.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.8855424730337,116.46344749398321,2,1,1,1,,$ 288.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.884600207946086,116.46230995387704,6,1,3,3,,$ 548.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
99%,27,27,100022,39.90082781665102,116.4838763001985,4,1,2,2,,$ 520.00,,,,,1,$ 70.00,1,1125,24,54,84,359,0,,,,,,,,moderate,27,
98%,48,48,,39.88426713467729,116.46143183174249,6,1,3,3,,$ 541.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
98%,48,48,,39.88535110543636,116.46661578507712,2,1,1,1,,$ 157.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,48,
97%,14,14,1000,39.96368343878371,116.46495870905588,2,1,1,1,,$ 602.00,,,$ 0.00,$ 102.00,1,$ 0.00,1,1125,29,59,89,179,15,99,10,10,10,10,10,10,strict_14_with_grace_period,14,0.98
99%,27,27,100022,39.89683099542826,116.47926530786633,4,1,2,3,,$ 630.00,,,,,1,$ 0.00,1,1125,27,57,87,362,3,100,10,9,10,10,10,10,flexible,27,0.21
99%,27,27,100022,39.8951276268255,116.48041288769166,2,1,1,1,,$ 397.00,,,,,1,$ 0.00,1,1125,28,58,88,363,13,86,9,8,9,10,9,9,moderate,27,0.88
99%,27,27,100022,39.90072563200822,116.48326204074651,4,1,1,2,,$ 438.00,,,,,1,$ 0.00,1,1125,25,55,85,360,6,100,10,10,10,10,10,10,flexible,27,0.66
100%,2,2,,39.91691377408012,116.45172691493107,2,1,1,1,,$ 616.00,,,,,1,$ 0.00,6,30,30,60,90,365,0,,,,,,,,flexible,1,
100%,2,2,100176,39.844323574909865,116.44709424105866,2,1,1,1,,$ 68.00,,,,$ 40.00,1,$ 34.00,1,1125,8,26,26,26,19,100,10,10,10,10,10,10,moderate,2,1.33
N/A,1,1,,39.88665738960603,116.33657380130217,2,1,1,1,,$ 68.00,,,,,1,$ 0.00,4,7,0,0,0,0,0,,,,,,,,flexible,1,
100%,2,2,100176,39.80424840779942,116.48823952433746,2,1,1,1,,$ 185.00,,,$ 0.00,$ 40.00,1,$ 50.00,1,1125,22,52,82,172,9,91,9,10,9,9,10,9,moderate,2,0.62
100%,12,12,,39.89303282316142,116.46344113123602,9,1,3,4,,$ 698.00,,,,,1,$ 0.00,2,1125,30,60,90,180,3,87,9,9,9,10,9,9,strict_14_with_grace_period,13,0.27
99%,219,219,,39.90815056354875,116.55750378269997,2,1,1,1,,$ 226.00,,,,,1,$ 0.00,1,1125,19,49,79,347,0,,,,,,,,strict_14_with_grace_period,214,
99%,219,219,,39.90780383103368,116.55868660367436,2,1,1,1,,$ 199.00,,,,,1,$ 0.00,1,1125,6,36,66,334,0,,,,,,,,strict_14_with_grace_period,214,
N/A,2,2,,40.11802735243214,116.42097785269847,5,1,2,3,,$ 103.00,,,$ 0.00,$ 0.00,1,$ 33.00,1,1125,0,0,0,0,3,100,10,9,10,10,10,10,flexible,2,0.2
100%,5,5,,39.97854562903954,116.31341651682379,3,1,1,2,,$ 548.00,,,"$ 1,000.00",,1,$ 0.00,1,1125,23,43,73,73,13,97,10,10,10,10,10,9,flexible,4,0.88
99%,219,219,,39.92094250904658,116.5541805634334,2,1,1,1,,$ 226.00,,,,,1,$ 0.00,1,1125,19,49,79,347,2,80,10,8,10,10,8,6,strict_14_with_grace_period,214,0.14
99%,219,219,,39.91983295109024,116.55352982027398,2,1,1,1,,$ 226.00,,,,,1,$ 0.00,1,1125,6,36,66,334,0,,,,,,,,strict_14_with_grace_period,214,
99%,219,219,,39.97353427297934,116.34976865880863,6,1,3,3,,$ 890.00,,,$ 0.00,$ 0.00,1,$ 0.00,1,1125,0,0,0,265,4,90,9,8,10,10,9,8,strict_14_with_grace_period,214,0.47
99%,219,219,,39.97232607871559,116.34922864382476,2,1,1,1,,$ 308.00,,,,,1,$ 0.00,1,1125,6,36,66,334,0,,,,,,,,strict_14_with_grace_period,214,
99%,219,219,,39.97231602896309,116.34916908307494,2,1,1,1,,$ 288.00,,,,,1,$ 0.00,1,1125,6,36,66,334,0,,,,,,,,strict_14_with_grace_period,214,
100%,1,1,100000,39.896518154674034,116.4926497310784,4,1,2,3,,$ 890.00,,,$ 800.00,$ 100.00,5,$ 120.00,1,1125,20,50,80,355,16,99,10,10,10,10,10,10,strict_14_with_grace_period,1,1.09
N/A,1,1,100020,39.92499228767697,116.44924568727659,2,1,1,2,,$ 301.00,,,$ 0.00,$ 0.00,1,$ 200.00,2,1125,0,0,0,0,0,,,,,,,,flexible,1,
99%,219,219,,39.97331246125557,116.34828762829535,1,1,1,1,,$ 288.00,,,,,1,$ 0.00,1,1125,6,36,66,334,0,,,,,,,,strict_14_with_grace_period,214,
99%,219,219,,39.91963608429509,116.55400074561844,2,1,1,1,,$ 199.00,,,,,1,$ 0.00,1,1125,6,36,66,334,0,,,,,,,,strict_14_with_grace_period,214,
97%,15,15,100022,39.88832678174464,116.46727749784819,4,1,2,2,,$ 459.00,,,$ 700.00,$ 90.00,1,$ 0.00,1,30,29,59,89,364,13,88,10,9,10,10,9,9,strict_14_with_grace_period,15,0.85
99%,27,27,100022,39.89809337704188,116.48807088323001,2,1,1,1,,$ 363.00,,,,,1,$ 0.00,1,1125,21,51,81,356,7,89,10,9,10,10,10,9,moderate,27,0.45
100%,5,5,,39.9776004057436,116.31423379845964,3,1,0,1,,$ 431.00,,,,,1,$ 0.00,1,1125,20,50,80,130,30,97,10,10,10,10,10,9,flexible,4,2.01
99%,27,27,100022,39.90061638643033,116.48527985634321,2,1,1,1,,$ 370.00,,,,,1,$ 0.00,1,1125,29,59,89,364,2,90,9,6,10,10,8,8,moderate,27,0.13
100%,1,1,100080,39.978779292930575,116.31392115813156,2,1,1,2,,$ 459.00,,,,,1,$ 0.00,1,1125,27,57,87,362,7,97,10,10,10,10,10,10,flexible,1,0.49
0%,1,1,,39.98779125312871,116.42678903328415,2,1,1,1,,$ 192.00,,,$ 0.00,$ 0.00,1,$ 50.00,1,60,0,0,0,207,15,97,10,10,10,10,10,10,flexible,1,1.04
99%,27,27,100022,39.89969751448549,116.48479615947002,4,1,2,2,,$ 589.00,,,,,1,$ 0.00,1,1125,22,52,82,357,1,80,8,8,8,10,8,8,moderate,27,0.09
97%,18,18,,39.89686376210803,116.45761271127961,4,1,2,2,,$ 828.00,,,$ 0.00,$ 80.00,2,$ 0.00,1,1125,0,0,0,0,35,94,10,9,10,10,10,10,strict_14_with_grace_period,18,2.33
71%,14,14,100022,39.89895849732262,116.47046264392334,2,1,1,1,,$ 459.00,,,$ 0.00,$ 0.00,1,$ 0.00,1,1125,30,60,90,90,7,83,8,8,10,10,10,8,moderate,14,0.47
N/A,2,2,100009,39.96968768137192,116.38016015398608,1,1,1,1,,$ 89.00,,,$ 0.00,,1,$ 70.00,1,60,0,0,0,0,24,100,10,10,10,10,10,10,strict_14_with_grace_period,2,1.58
100%,8,8,,39.896323813795824,116.44636232915431,2,1,1,1,,$ 465.00,,,,,1,$ 0.00,1,1125,18,44,74,349,7,97,10,9,10,10,9,9,strict_14_with_grace_period,8,0.46
100%,3,3,,39.96864470021468,116.43514852713608,2,1,1,1,,$ 157.00,,,,,1,$ 0.00,2,15,0,0,0,0,23,98,10,10,10,10,10,10,flexible,3,1.53
100%,4,4,,39.80859547111695,116.4248762203085,5,1.5,2,3,,$ 630.00,,,$ 800.00,$ 34.00,1,$ 0.00,1,1125,28,58,88,363,2,100,10,10,10,10,10,10,moderate,3,0.16
100%,9,9,,39.87762551934116,116.45549772283246,6,1,2,4,,$ 445.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,100,10,10,10,10,10,10,flexible,9,0.08
100%,9,9,,39.87588413507303,116.4557404402588,6,1,2,4,,$ 527.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,9,
100%,9,9,100176,39.872911970914274,116.45254750324885,8,1,2,4,,$ 691.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,9,
100%,9,9,100176,39.87182754866292,116.45411742738875,6,1,2,4,,$ 445.00,,,,,1,$ 0.00,1,1125,30,60,90,365,2,70,8,7,8,9,7,7,flexible,9,0.14
100%,9,9,100176,39.87145707554656,116.45382297477198,6,1,2,4,,$ 445.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,100,10,8,10,10,10,8,flexible,9,0.22
100%,9,9,100176,39.87221083566088,116.45221818857289,4,1,1,2,,$ 397.00,,,,,1,$ 0.00,1,1125,30,60,90,365,2,90,10,10,9,10,8,8,flexible,9,0.14
100%,9,9,100176,39.87247250237568,116.45395184107777,6,1,2,4,,$ 445.00,,,,,1,$ 0.00,1,1125,30,60,90,365,2,80,10,10,10,10,8,10,flexible,9,0.15
100%,9,9,100176,39.87217373077393,116.45240362935652,4,1,1,2,,$ 397.00,,,$ 700.00,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,9,
100%,5,5,,40.00182687857068,116.35368153628578,2,1,1,2,,$ 157.00,,,,$ 32.00,1,$ 32.00,2,25,14,44,74,74,28,99,10,10,10,10,10,10,strict_14_with_grace_period,5,1.9
100%,2,2,,39.89453467443137,116.45837392355008,4,2,2,2,,$ 657.00,,,,,1,$ 0.00,1,1125,16,46,76,76,58,94,10,9,10,10,10,10,flexible,1,3.89
100%,32,32,26610,39.82630011259397,116.3035059085165,2,1,1,1,,$ 267.00,,,$ 680.00,$ 60.00,1,$ 0.00,1,1125,0,0,0,269,4,100,10,10,10,10,10,10,strict_14_with_grace_period,1,0.29
N/A,1,1,,39.90842195858954,116.49870010254962,1,1,1,1,,$ 96.00,,,,,1,$ 0.00,1,30,0,0,0,0,1,100,10,10,10,10,10,10,flexible,1,0.07
100%,2,2,100009,39.94056412768402,116.39786852974,2,1,1,1,,$ 493.00,,,"$ 1,500.00",$ 70.00,1,$ 150.00,1,90,20,50,80,80,12,98,10,10,10,10,10,9,strict_14_with_grace_period,2,0.8
100%,2,2,100009,39.937791437928475,116.39639835464416,2,1,1,1,,$ 520.00,,,"$ 1,500.00",$ 70.00,1,$ 150.00,1,90,20,50,80,80,2,100,10,10,10,10,10,10,strict_14_with_grace_period,2,0.15
100%,10,10,100020,39.917946728694346,116.4560422093386,4,1,2,2,,"$ 1,102.00",,,"$ 3,000.00",$ 300.00,1,$ 0.00,2,1125,10,30,60,335,53,98,10,10,10,10,10,10,strict_14_with_grace_period,10,3.47
60%,1,1,100020,39.91910325165994,116.45250844288299,1,1,1,1,,$ 151.00,,,,,1,$ 0.00,30,360,28,58,88,178,0,,,,,,,,flexible,1,
100%,3,3,,39.9901818461822,116.37787357177156,1,1,1,1,,$ 267.00,,,$ 800.00,$ 50.00,1,$ 32.00,2,1125,25,55,85,360,2,90,10,9,10,10,9,9,flexible,3,0.91
100%,1,1,,40.04003867349598,116.20074480452453,2,1,1,1,,$ 267.00,,,,,1,$ 0.00,1,1125,20,50,80,355,0,,,,,,,,flexible,1,
100%,16,16,100080,39.98090095944451,116.30631709700438,2,1,0,1,,$ 411.00,,,,,1,$ 0.00,1,1125,29,59,89,179,0,,,,,,,,flexible,16,
100%,1,1,102200,40.21411703086934,116.22969953574116,1,1,0,1,,$ 96.00,,,$ 800.00,$ 50.00,1,$ 50.00,1,1125,27,57,87,87,1,100,,,,,,,flexible,1,0.07
100%,8,8,100036,39.92745620962252,116.300689802226,5,1,2,4,,$ 568.00,,,$ 800.00,,1,$ 0.00,1,1125,25,55,85,360,3,100,10,9,10,10,10,9,strict_14_with_grace_period,8,0.2
78%,15,15,,39.896288957378275,116.41539097424206,2,1,1,1,,$ 329.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,15,
78%,15,15,,39.89669111684752,116.41475721265988,4,1,1,2,,$ 329.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,20,2,6,2,6,8,2,flexible,15,0.22
78%,15,15,,39.89650735171227,116.41444231768685,4,1,2,2,,$ 329.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,60,4,8,,,,,flexible,15,0.08
78%,15,15,,39.89729389198517,116.41567507952783,4,1,1,2,,$ 329.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,15,
78%,15,15,,39.89732698740006,116.41392023834398,4,1,1,2,,$ 329.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,15,
78%,15,15,,39.897089939488644,116.41501815420497,4,1,1,2,,$ 329.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,15,
78%,15,15,,39.896319413327454,116.41572231649187,2,1,1,1,,$ 267.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,100,10,10,10,10,10,10,flexible,15,0.07
78%,15,15,,39.89685130037188,116.41532347837769,2,1,1,1,,$ 267.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,15,
